wordtype	place	root	plural	rootaudio	pluralaudio	rootimage	pluralimage	cand1	cand2	cand3	cand4	cand5
faith	bilab	boke	pamboke	boke.wav	pamboke.wav	boke.png	pamboke.png	pampoke	pamboke	pamfoke	pamvoke	paboke
faith	bilab	bedge	pambedge	bedge.wav	pambedge.wav	bedge.png	pambedge.png	pampedge	pambedge	pamfedge	pamvedge	pabedge
faith	bilab	baff	pambaff	baff.wav	pambaff.wav	baff.png	pambaff.png	pampaff	pambaff	pamfaff	pamvaff	pabaff
faith	bilab	boin	pamboin	boin.wav	pamboin.wav	boin.png	pamboin.png	pampoin	pamboin	pamfoin	pamvoin	paboin
faith	bilab	beeg	pambeeg	beeg.wav	pambeeg.wav	beeg.png	pambeeg.png	pampeeg	pambeeg	pamfeeg	pamveeg	pabeeg
